position,name,left,width,top,height,light,col_centre,row_centre,blu,grn,red,X,Y,Z,x,y,z,L,A,B
T13B4,cloth,370,290,2446,290,158.1808099,515.0,2591.0,0.24400323084977088,0.3525322134738972,0.24454846725504775,0.27095000741435404,0.3217339529449954,0.2786243658892269,0.31096914748988,0.3692538487841876,0.3197770037259324,0.0,128.0,128.0
T13B5,cloth,397,290,2738,290,135.5006082,542.0,2883.0,0.2545938633257478,0.3536907837319429,0.2500074806161079,0.27552683669464084,0.32448787011548047,0.28893232367735927,0.30994741783832436,0.36502497785221,0.32502760430946553,0.0,128.0,128.0
T13C1,cloth,665,290,1582,290,176.3661972,810.0,1727.0,0.27473610398988724,0.38837482354865327,0.279007768613783,0.3035247903208648,0.3569135790645235,0.3127683263056293,0.31188111596925405,0.3667397487551191,0.3213791352756267,0.0,128.0,128.0
T13C2,cloth,665,290,1866,290,176.3661972,810.0,2011.0,0.26078935190415,0.3744015398886645,0.26549996604789167,0.2904403813478238,0.34304120413775485,0.29758800848683953,0.31194271967217496,0.36843776916198706,0.319619511165838,0.0,128.0,128.0
T13C3,cloth,663,290,2159,290,171.7289213,808.0,2304.0,0.2596090718006296,0.3714943773562473,0.26104305378016823,0.2873496007271759,0.3399290892834452,0.2960337034526589,0.3112160117870266,0.3681625977188447,0.3206213904941287,0.0,128.0,128.0
T13C4,cloth,665,290,2453,290,159.9318182,810.0,2598.0,0.25412364423786715,0.3674478847596536,0.25452578311122226,0.28222480485201207,0.33525327361311547,0.29021256534455325,0.31092620242011365,0.3693475039095031,0.31972629367038324,0.0,128.0,128.0
T13C5,cloth,680,290,2750,290,135.337388,825.0,2895.0,0.2603582590401881,0.3599510115579542,0.25180542499407493,0.27954703136303827,0.32976330512334434,0.29519118291066143,0.3090619809565262,0.3645801560877091,0.3263578629557647,0.0,128.0,128.0
T13D1,cloth,957,290,1582,290,179.2450704,1102.0,1727.0,0.26494373328546655,0.3811855195527601,0.2717970983741997,0.29621306905871436,0.34953185398900427,0.3024662783772749,0.31239144677215225,0.3686223633128567,0.31898618991499117,0.0,128.0,128.0
T13D2,cloth,950,290,1866,290,178.7391445,1095.0,2011.0,0.2567878951915718,0.3676160746039061,0.2619520558659177,0.2858286900278583,0.337145214225766,0.2929080396480158,0.31208027620921686,0.3681099037606677,0.31980982003011543,0.0,128.0,128.0
T13D3,cloth,950,290,2156,290,173.8255081,1095.0,2301.0,0.2730366905111202,0.38537457802778097,0.2730001467549497,0.29966745422443813,0.35336763334908006,0.3106796106847814,0.31095038268693065,0.3666724539821937,0.3223771633308757,0.0,128.0,128.0
T13D4,cloth,950,290,2448,290,160.2372159,1095.0,2593.0,0.2620023333456399,0.37786087384276773,0.26573583673647877,0.29199351020565856,0.34565286466447287,0.2991575949568749,0.31169115376355544,0.3689703244194219,0.31933852181702266,0.0,128.0,128.0
T13D5,cloth,962,290,2740,290,135.115601,1107.0,2885.0,0.2507538069342052,0.3501710909268693,0.24281180871663183,0.27060748756581654,0.3201632735822383,0.2847244627184855,0.3090907639343875,0.36569391226175746,0.3252153238038551,0.0,128.0,128.0
T14A2,cloth,1348,290,1872,290,177.7338068,1493.0,2017.0,0.28039969063270154,0.39005760138781903,0.28376369360265774,0.30711004657220425,0.3595372470638257,0.3184429801473492,0.31175827712997767,0.3649789837869091,0.32326273908311337,0.0,128.0,128.0
T14A3,cloth,1352,290,2166,290,169.3678337,1497.0,2311.0,0.28167784736744433,0.3894135887469367,0.27882385033580165,0.3050729204791403,0.3581183601760933,0.31948535014238877,0.3104509773795248,0.36443154233291836,0.3251174802875568,0.0,128.0,128.0
T14A4,cloth,1354,290,2458,290,154.0978993,1499.0,2603.0,0.2674650645273957,0.36735967317038803,0.2601333341156295,0.2869134253195337,0.3373456800443886,0.30298887346013176,0.3094246974616223,0.3638138747654258,0.3267614277729519,0.0,128.0,128.0
T14B1,cloth,1647,290,1597,290,176.5952945,1792.0,1742.0,0.28747541130778387,0.39570878884139365,0.2908966962506403,0.31334955408490994,0.3656063927024402,0.32597855161019706,0.31181092358215606,0.36381116708146694,0.324377909336377,0.0,128.0,128.0
T14B2,cloth,1644,290,1882,290,174.6387604,1789.0,2027.0,0.2784144473120746,0.3875092610377764,0.27817535828891055,0.3035356639611967,0.3563830234421307,0.3161446091811351,0.31097948772723943,0.36512286107798697,0.3238976511947736,0.0,128.0,128.0
T14B3,cloth,1647,290,2169,290,166.9431018,1792.0,2314.0,0.28234370960214905,0.38875593355135135,0.281175799663793,0.30592798176893843,0.35819629110715573,0.3200852068691041,0.3108362478363245,0.36394314267313205,0.3252206094905435,0.0,128.0,128.0
T14B4,cloth,1653,290,2455,290,151.756138,1798.0,2600.0,0.2687110119806292,0.3716222989533777,0.2647757128478012,0.2905772328856755,0.34147134065617685,0.30477072861182014,0.31017425902483187,0.3645007525689976,0.32532498840617036,0.0,128.0,128.0
T14B5,cloth,1655,290,2757,290,126.7818182,1800.0,2902.0,0.251042891945806,0.3470413059241882,0.24662043022633165,0.2711114033443534,0.31875585624422637,0.28469977156362514,0.3099949960235474,0.36447275610684643,0.32553224786960616,0.0,128.0,128.0
T14C1,cloth,1942,290,1578,290,173.5654929,2087.0,1723.0,0.28143266927658545,0.39450826457626625,0.2850233270909381,0.3094074293354941,0.36306259377501476,0.31997946106250097,0.31176138863462427,0.3658247594108513,0.3224138519545245,0.0,128.0,128.0
T14C2,cloth,1940,290,1863,290,171.6912852,2085.0,2008.0,0.2833603494685454,0.39271021610835355,0.2856867889435406,0.3093859650586254,0.36205694613156747,0.3216098577645339,0.31155037751345344,0.364589835958731,0.32385978652781544,0.0,128.0,128.0
T14C3,cloth,1940,290,2166,290,165.8428337,2085.0,2311.0,0.28028694666534887,0.38865836046963925,0.2806953075389511,0.3053237927524653,0.35787587698452766,0.3181097369000869,0.311139168428846,0.36469219041826817,0.3241686411528859,0.0,128.0,128.0
T14C4,cloth,1940,290,2458,290,151.2036012,2085.0,2603.0,0.2640268943112273,0.3665613765354759,0.26054777067383667,0.2861785356946253,0.33661476593902656,0.2996344283096733,0.3102449399609966,0.364922643814826,0.32483241622417736,0.0,128.0,128.0
T14C5,cloth,1944,290,2747,290,128.4911332,2089.0,2892.0,0.2610875695291387,0.3626661206818338,0.25689654728371164,0.2827493504275229,0.3328404031126586,0.29630630019441323,0.31006752279445265,0.3649981834547241,0.3249342937508231,0.0,128.0,128.0
T14D1,cloth,2234,290,1582,290,169.2471831,2379.0,1727.0,0.28184087308728256,0.39141857346151326,0.28475719374689235,0.3082665165105637,0.3608258571369509,0.319993966958632,0.3116679544089621,0.3648072390887779,0.32352480650226,0.0,128.0,128.0
T14D2,cloth,2236,290,1867,290,169.1450704,2381.0,2012.0,0.2828465808433933,0.39229665816651027,0.28359995221589446,0.3082846543322835,0.3612802943904154,0.3210319818427877,0.3112109929073754,0.364709684880789,0.3240793222118356,0.0,128.0,128.0
T14D3,cloth,2235,290,2163,290,165.4579546,2380.0,2308.0,0.27839266296930254,0.3877964660016187,0.2814753555362032,0.30499553586434736,0.3572886664035076,0.3162219417817127,0.3116950646851507,0.36513686559479447,0.3231680697200548,0.0,128.0,128.0
T14D4,cloth,2235,290,2458,290,153.3849392,2380.0,2603.0,0.2801249563097092,0.3873109646579393,0.27920885612587626,0.3041996706795538,0.35658446431887364,0.31776645909639867,0.31086759592736546,0.3644006415924969,0.3247317624801377,0.0,128.0,128.0
